id,cluster
053_Meghan Trainor - Me Too (Official Video)_clip1,-1
053_Meghan Trainor - Me Too (Official Video)_clip2,-1
053_Meghan Trainor - Me Too (Official Video)_clip3,-1
053_Meghan Trainor - Me Too (Official Video)_clip4,-1
054_Demi Lovato - Let It Go (from ＂Frozen＂) (Official Video)_clip0,-1
054_Demi Lovato - Let It Go (from ＂Frozen＂) (Official Video)_clip1,-1
054_Demi Lovato - Let It Go (from ＂Frozen＂) (Official Video)_clip2,-1
054_Demi Lovato - Let It Go (from ＂Frozen＂) (Official Video)_clip3,-1
054_Demi Lovato - Let It Go (from ＂Frozen＂) (Official Video)_clip4,-1
054_Demi Lovato - Let It Go (from ＂Frozen＂) (Official Video)_clip5,-1
054_Demi Lovato - Let It Go (from ＂Frozen＂) (Official Video)_clip6,-1
055_Jason Mraz - I'm Yours (Official Video) [4K Remaster]_clip0,-1
055_Jason Mraz - I'm Yours (Official Video) [4K Remaster]_clip1,-1
055_Jason Mraz - I'm Yours (Official Video) [4K Remaster]_clip2,-1
055_Jason Mraz - I'm Yours (Official Video) [4K Remaster]_clip3,-1
055_Jason Mraz - I'm Yours (Official Video) [4K Remaster]_clip4,-1
055_Jason Mraz - I'm Yours (Official Video) [4K Remaster]_clip5,-1
"056_Sam Smith, Normani - Dancing With A Stranger (Official Music Video)_clip0",-1
"056_Sam Smith, Normani - Dancing With A Stranger (Official Music Video)_clip1",-1
"056_Sam Smith, Normani - Dancing With A Stranger (Official Music Video)_clip2",-1
"056_Sam Smith, Normani - Dancing With A Stranger (Official Music Video)_clip3",-1
"056_Sam Smith, Normani - Dancing With A Stranger (Official Music Video)_clip4",-1
057_Demi Lovato - Heart Attack (Official Video)_clip0,-1
057_Demi Lovato - Heart Attack (Official Video)_clip1,-1
057_Demi Lovato - Heart Attack (Official Video)_clip2,-1
057_Demi Lovato - Heart Attack (Official Video)_clip3,-1
057_Demi Lovato - Heart Attack (Official Video)_clip4,-1
057_Demi Lovato - Heart Attack (Official Video)_clip5,-1
058_Charlie Puth - ＂How Long＂ [Official Video]_clip0,-1
058_Charlie Puth - ＂How Long＂ [Official Video]_clip1,-1
058_Charlie Puth - ＂How Long＂ [Official Video]_clip2,-1
058_Charlie Puth - ＂How Long＂ [Official Video]_clip3,-1
058_Charlie Puth - ＂How Long＂ [Official Video]_clip4,-1
058_Charlie Puth - ＂How Long＂ [Official Video]_clip5,-1
059_Bastille - Pompeii (Official Music Video)_clip0,-1
059_Bastille - Pompeii (Official Music Video)_clip1,-1
059_Bastille - Pompeii (Official Music Video)_clip2,-1
059_Bastille - Pompeii (Official Music Video)_clip3,-1
059_Bastille - Pompeii (Official Music Video)_clip4,-1
059_Bastille - Pompeii (Official Music Video)_clip5,-1
059_Bastille - Pompeii (Official Music Video)_clip6,-1
060_Justin Bieber - Company_clip0,-1
060_Justin Bieber - Company_clip1,-1
060_Justin Bieber - Company_clip2,-1
060_Justin Bieber - Company_clip3,-1
060_Justin Bieber - Company_clip4,-1
060_Justin Bieber - Company_clip5,-1
061_Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera_clip0,-1
061_Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera_clip1,-1
061_Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera_clip2,-1
061_Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera_clip3,-1
061_Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera_clip4,-1
